ticker,year,roe,lucro_liquido,margem_liquida,receita_liquida,divida_liquida,ebitda,divida_ebitda,market_cap,p_l,cagr_lucro
AXIA99,2019,15.0486,1.0743843E+10,38.7507,2.7725527E+10,1.61414823E+11,,,,,
AXIA99,2020,8.6606,6.387313E+9,21.9642,2.9080513E+10,1.48358891E+11,,,,,
AXIA99,2021,7.4769,5.713633E+9,15.1893,3.7616241E+10,1.36407947E+11,,,,,
AXIA99,2022,3.277,3.638382E+9,10.6778,3.4074233E+10,1.57869701E+11,,,,,
AXIA99,2023,3.9078,4.394861E+9,11.8272,3.7158908E+10,1.80846471E+11,,,,,
AXIA99,2024,8.5088,1.0380753E+10,25.8346,4.0181552E+10,2.2321421E+11,,,,,-0.6852
AZEV11,2019,14.5241,-3.5783E+7,-2041.2436,1.753E+6,6.8008E+7,,,,,
AZEV11,2020,15.3612,-3.6869E+7,-144.3805,2.5536E+7,4.0809E+7,,,,,
AZEV11,2021,177.7454,1.90136E+8,247.37,7.6863E+7,1.8675E+7,,,,,
AZEV11,2022,-82.4454,-7.9972E+7,-20.8006,3.84469E+8,1.75511E+8,,,,,
AZEV11,2023,-16.0207,-5.0805E+7,-11.8201,4.29819E+8,9.4962E+7,,,,,
AZEV11,2024,-195.4019,-2.66491E+8,-175.5332,1.51818E+8,3.36041E+8,,,,,
AZEV12,2019,14.5241,-3.5783E+7,-2041.2436,1.753E+6,6.8008E+7,,,,,
AZEV12,2020,15.3612,-3.6869E+7,-144.3805,2.5536E+7,4.0809E+7,,,,,
AZEV12,2021,177.7454,1.90136E+8,247.37,7.6863E+7,1.8675E+7,,,,,
AZEV12,2022,-82.4454,-7.9972E+7,-20.8006,3.84469E+8,1.75511E+8,,,,,
AZEV12,2023,-16.0207,-5.0805E+7,-11.8201,4.29819E+8,9.4962E+7,,,,,
AZEV12,2024,-195.4019,-2.66491E+8,-175.5332,1.51818E+8,3.36041E+8,,,,,
AZEV3,2019,14.5241,-3.5783E+7,-2041.2436,1.753E+6,6.8008E+7,,,,,
AZEV3,2020,15.3612,-3.6869E+7,-144.3805,2.5536E+7,4.0809E+7,,,,,
AZEV3,2021,177.7454,1.90136E+8,247.37,7.6863E+7,1.8675E+7,,,,,
AZEV3,2022,-82.4454,-7.9972E+7,-20.8006,3.84469E+8,1.75511E+8,,,,,
AZEV3,2023,-16.0207,-5.0805E+7,-11.8201,4.29819E+8,9.4962E+7,,,,,
AZEV3,2024,-195.4019,-2.66491E+8,-175.5332,1.51818E+8,3.36041E+8,,,,,
AZEV4,2019,14.5241,-3.5783E+7,-2041.2436,1.753E+6,6.8008E+7,,,,,
AZEV4,2020,15.3612,-3.6869E+7,-144.3805,2.5536E+7,4.0809E+7,,,,,
AZEV4,2021,177.7454,1.90136E+8,247.37,7.6863E+7,1.8675E+7,,,,,
AZEV4,2022,-82.4454,-7.9972E+7,-20.8006,3.84469E+8,1.75511E+8,,,,,
AZEV4,2023,-16.0207,-5.0805E+7,-11.8201,4.29819E+8,9.4962E+7,,,,,
AZEV4,2024,-195.4019,-2.66491E+8,-175.5332,1.51818E+8,3.36041E+8,,,,,
AZTE11,2023,0,0,,0,-1E+3,,,,,
AZTE11,2024,-24.9945,-3.8651E+7,-1758.4622,2.198E+6,9.742E+6,,,,,
AZTE3,2023,0,0,,0,-1E+3,,,,,
AZTE3,2024,-24.9945,-3.8651E+7,-1758.4622,2.198E+6,9.742E+6,,,,,
AZUL3,2019,68.2855,-2.403086E+9,-21.0017,1.1442317E+10,1.3976897E+10,,,,,
AZUL3,2020,76.5771,-1.0834709E+10,-188.6224,5.744126E+9,2.9016433E+10,,,,,
AZUL3,2021,22.9815,-4.213208E+9,-42.2346,9.975729E+9,5.0490815E+10,,,,,
AZUL3,2022,3.8004,-7.22367E+8,-4.5295,1.5948067E+10,4.8577592E+10,,,,,
AZUL3,2023,11.1613,-2.380456E+9,-12.8296,1.8554425E+10,5.3516008E+10,,,,,
AZUL3,2024,30.0683,-9.151371E+9,-46.8671,1.9526208E+10,7.9241585E+10,,,,,
AZZA3,2019,21.7324,1.62139E+8,9.6555,1.679235E+9,6.8398E+8,,,,,
AZZA3,2020,3.6026,4.8584E+7,3.0537,1.590992E+9,2.387691E+9,,,,,
AZZA3,2021,21.5904,3.4372E+8,11.7558,2.923827E+9,1.979641E+9,,,,,
AZZA3,2022,15.9172,4.22538E+8,9.9803,4.233726E+9,1.631101E+9,,,,,
